"","workerid","tag","response","max","chosen_bin","chosen_min","chosen_max","steps"
"1",0,"commute",45,98,7,42,48,7
"2",0,"laptop",1275,7500,3,1000,1500,500
"3",0,"movies",116,210,8,105,120,16
"4",0,"tv",8,43,3,7,9,3
"5",0,"coffee",112,200,7,104,116,13
"6",0,"watch",168,700,4,150,200,50
"7",0,"joke",10,14,11,10,10,1
"8",0,"marbles",14,14,15,14,14,1
"9",1,"watch",119,700,3,100,150,50
"10",1,"marbles",14,14,15,14,14,1
"11",1,"laptop",825,7500,2,500,1000,500
"12",1,"tv",10,43,4,10,12,3
"13",1,"commute",25,98,4,21,27,7
"14",1,"joke",8,14,9,8,8,1
"15",1,"coffee",148,200,10,140,152,13
"16",1,"movies",105,210,7,90,105,16
"17",2,"commute",15,98,3,14,20,7
"18",2,"marbles",14,14,15,14,14,1
"19",2,"laptop",1500,7500,3,1000,1500,500
"20",2,"watch",245,700,5,200,250,50
"21",2,"tv",10,43,4,10,12,3
"22",2,"joke",11,14,12,11,11,1
"23",2,"coffee",114,200,7,104,116,13
"24",2,"movies",128,210,9,120,135,16
"25",3,"marbles",14,14,15,14,14,1
"26",3,"laptop",1350,7500,3,1000,1500,500
"27",3,"commute",35,98,6,35,41,7
"28",3,"movies",120,210,8,105,120,16
"29",3,"tv",15,43,5,13,15,3
"30",3,"joke",13,14,14,13,13,1
"31",3,"watch",140,700,3,100,150,50
"32",3,"coffee",138,200,9,128,140,13
"33",4,"coffee",150,200,10,140,152,13
"34",4,"laptop",900,7500,2,500,1000,500
"35",4,"commute",71,98,11,70,76,7
"36",4,"tv",11,43,4,10,12,3
"37",4,"watch",504,700,11,500,550,50
"38",4,"joke",12,14,13,12,12,1
"39",4,"movies",160,210,11,150,165,16
"40",4,"marbles",14,14,15,14,14,1
"41",5,"laptop",675,7500,2,500,1000,500
"42",5,"watch",154,700,4,150,200,50
"43",5,"joke",12,14,13,12,12,1
"44",5,"marbles",14,14,15,14,14,1
"45",5,"tv",21,43,7,19,21,3
"46",5,"movies",90,210,6,75,90,16
"47",5,"coffee",142,200,10,140,152,13
"48",5,"commute",20,98,3,14,20,7
"49",6,"movies",113,210,8,105,120,16
"50",6,"commute",36,98,6,35,41,7
"51",6,"tv",16,43,6,16,18,3
"52",6,"marbles",14,14,15,14,14,1
"53",6,"coffee",148,200,10,140,152,13
"54",6,"joke",12,14,13,12,12,1
"55",6,"laptop",750,7500,2,500,1000,500
"56",6,"watch",84,700,2,50,100,50
"57",7,"coffee",150,200,10,140,152,13
"58",7,"movies",120,210,8,105,120,16
"59",7,"commute",25,98,4,21,27,7
"60",7,"tv",12,43,4,10,12,3
"61",7,"joke",10,14,11,10,10,1
"62",7,"watch",406,700,9,400,450,50
"63",7,"marbles",14,14,15,14,14,1
"64",7,"laptop",900,7500,2,500,1000,500
"65",8,"tv",10,43,4,10,12,3
"66",8,"watch",203,700,5,200,250,50
"67",8,"commute",60,98,9,56,62,7
"68",8,"joke",11,14,12,11,11,1
"69",8,"movies",120,210,8,105,120,16
"70",8,"marbles",14,14,15,14,14,1
"71",8,"laptop",1050,7500,3,1000,1500,500
"72",8,"coffee",112,200,7,104,116,13
"73",9,"tv",21,43,7,19,21,3
"74",9,"watch",28,700,1,0,50,50
"75",9,"joke",11,14,12,11,11,1
"76",9,"movies",139,210,10,135,150,16
"77",9,"commute",33,98,5,28,34,7
"78",9,"marbles",14,14,15,14,14,1
"79",9,"coffee",182,200,13,176,188,13
"80",9,"laptop",375,7500,1,0,500,500
"81",10,"joke",10,14,11,10,10,1
"82",10,"watch",140,700,3,100,150,50
"83",10,"tv",14,43,5,13,15,3
"84",10,"coffee",150,200,10,140,152,13
"85",10,"commute",20,98,3,14,20,7
"86",10,"movies",120,210,8,105,120,16
"87",10,"laptop",525,7500,2,500,1000,500
"88",10,"marbles",14,14,15,14,14,1
"89",11,"coffee",98,200,6,92,104,13
"90",11,"tv",26,43,9,25,27,3
"91",11,"laptop",3450,7500,7,3000,3500,500
"92",11,"joke",11,14,12,11,11,1
"93",11,"commute",20,98,3,14,20,7
"94",11,"marbles",14,14,15,14,14,1
"95",11,"movies",90,210,6,75,90,16
"96",11,"watch",147,700,3,100,150,50
"97",12,"watch",385,700,8,350,400,50
"98",12,"coffee",142,200,10,140,152,13
"99",12,"tv",12,43,4,10,12,3
"100",12,"movies",107,210,8,105,120,16
"101",12,"joke",4,14,5,4,4,1
"102",12,"marbles",14,14,15,14,14,1
"103",12,"laptop",2250,7500,5,2000,2500,500
"104",12,"commute",31,98,5,28,34,7
"105",13,"movies",149,210,10,135,150,16
"106",13,"joke",9,14,10,9,9,1
"107",13,"laptop",450,7500,1,0,500,500
"108",13,"commute",53,98,8,49,55,7
"109",13,"coffee",184,200,13,176,188,13
"110",13,"tv",20,43,7,19,21,3
"111",13,"marbles",10,14,11,10,10,1
"112",13,"watch",413,700,9,400,450,50
"113",14,"watch",140,700,3,100,150,50
"114",14,"movies",122,210,9,120,135,16
"115",14,"laptop",1725,7500,4,1500,2000,500
"116",14,"commute",21,98,4,21,27,7
"117",14,"joke",9,14,10,9,9,1
"118",14,"tv",20,43,7,19,21,3
"119",14,"coffee",142,200,10,140,152,13
"120",14,"marbles",14,14,15,14,14,1
"121",15,"tv",3,43,1,0,3,3
"122",15,"marbles",0,14,1,0,0,1
"123",15,"coffee",86,200,5,80,92,13
"124",15,"watch",182,700,4,150,200,50
"125",15,"laptop",900,7500,2,500,1000,500
"126",15,"commute",27,98,4,21,27,7
"127",15,"joke",11,14,12,11,11,1
"128",15,"movies",120,210,8,105,120,16
"129",16,"tv",0,43,1,0,3,3
"130",16,"commute",38,98,6,35,41,7
"131",16,"movies",122,210,9,120,135,16
"132",16,"marbles",14,14,15,14,14,1
"133",16,"coffee",150,200,10,140,152,13
"134",16,"watch",98,700,2,50,100,50
"135",16,"joke",7,14,8,7,7,1
"136",16,"laptop",1500,7500,3,1000,1500,500
"137",17,"watch",245,700,5,200,250,50
"138",17,"laptop",1650,7500,4,1500,2000,500
"139",17,"commute",25,98,4,21,27,7
"140",17,"joke",13,14,14,13,13,1
"141",17,"movies",97,210,7,90,105,16
"142",17,"marbles",14,14,15,14,14,1
"143",17,"coffee",98,200,6,92,104,13
"144",17,"tv",15,43,5,13,15,3
"145",18,"laptop",675,7500,2,500,1000,500
"146",18,"marbles",14,14,15,14,14,1
"147",18,"joke",14,14,15,14,14,1
"148",18,"movies",99,210,7,90,105,16
"149",18,"tv",25,43,9,25,27,3
"150",18,"coffee",110,200,7,104,116,13
"151",18,"commute",20,98,3,14,20,7
"152",18,"watch",105,700,3,100,150,50
"153",19,"tv",8,43,3,7,9,3
"154",19,"commute",25,98,4,21,27,7
"155",19,"movies",101,210,7,90,105,16
"156",19,"watch",56,700,2,50,100,50
"157",19,"laptop",1050,7500,3,1000,1500,500
"158",19,"joke",13,14,14,13,13,1
"159",19,"marbles",14,14,15,14,14,1
"160",19,"coffee",108,200,7,104,116,13
